years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
10,64.1,Bachelors,10,813,372,Yes
7,93.1,PhD,13,574,299,Yes
1,34.2,Bachelors,1,354,31,No
10,85.9,Bachelors,11,787,466,Yes
10,76.5,Masters,9,715,279,Yes
12,89.9,Bachelors,13,634,485,Yes
2,80.1,Masters,5,430,51,No
11,66.4,Bachelors,9,647,255,Yes
2,44.4,Bachelors,7,597,230,No
9,97.5,Bachelors,10,499,368,Yes
10,80.4,Masters,8,531,267,Yes
0,66.2,Masters,6,150,83,No
5,84.9,Masters,10,427,268,Yes
1,45.1,Bachelors,8,350,127,No
0,71.0,Bachelors,5,184,116,No
15,100.0,PhD,19,670,584,Yes
1,85.3,Masters,8,493,174,Yes
11,100.0,Masters,13,538,376,Yes
5,68.5,Bachelors,1,492,122,No
13,94.8,Bachelors,13,755,484,Yes
3,64.2,Bachelors,3,582,168,No
5,73.4,Masters,7,504,214,Yes
11,66.3,Masters,13,811,391,Yes
8,70.1,Bachelors,15,709,384,Yes
15,60.6,Bachelors,9,733,335,Yes
12,79.4,Bachelors,17,689,500,Yes
9,95.3,Bachelors,10,759,384,Yes
11,98.7,PhD,16,514,439,Yes
9,77.2,Bachelors,8,606,331,Yes
7,72.2,Masters,14,535,391,Yes
0,53.1,Masters,4,320,98,No
12,71.5,Masters,17,638,680,Yes
7,91.3,PhD,7,522,17,Yes
8,54.2,Masters,12,531,424,Yes
5,47.9,Masters,3,555,139,No
9,89.1,Bachelors,14,483,415,Yes
14,92.4,Masters,21,661,673,Yes
4,69.9,Masters,13,489,318,Yes
5,70.6,Bachelors,16,712,448,Yes
15,100.0,Masters,14,805,543,Yes
12,86.1,Masters,21,484,591,Yes
5,75.6,Masters,9,410,256,Yes
8,100.0,Bachelors,14,396,459,Yes
3,66.3,Masters,8,373,144,Yes
1,85.4,Bachelors,8,377,81,No
10,49.6,Masters,12,571,438,Yes
10,60.1,Bachelors,11,400,401,Yes
8,67.2,Masters,13,444,292,Yes
15,96.3,Bachelors,11,832,467,Yes
1,86.1,Bachelors,10,396,297,No
15,78.6,Bachelors,17,597,693,Yes
9,85.7,High School,16,595,472,Yes
8,100.0,Masters,10,770,282,Yes
1,86.7,Masters,17,338,380,Yes
11,68.9,High School,15,675,533,Yes
7,80.0,High School,10,593,182,Yes
8,78.6,Bachelors,18,637,463,Yes
11,73.4,Masters,15,775,540,Yes
9,81.9,Bachelors,11,782,279,Yes
8,66.4,Bachelors,10,515,339,Yes
9,77.4,Bachelors,11,551,373,Yes
15,66.8,Bachelors,13,564,644,Yes
8,47.1,Bachelors,13,477,423,Yes
1,55.2,Bachelors,8,579,152,No
15,96.0,Masters,24,886,631,Yes
3,50.3,Masters,4,457,128,No
6,72.9,High School,6,521,195,Yes
11,83.9,Masters,22,881,513,Yes
1,69.3,Bachelors,4,446,88,No
0,79.2,PhD,17,334,314,Yes
2,81.7,Bachelors,9,553,127,Yes
11,92.3,Masters,10,658,356,Yes
3,62.8,Masters,8,383,151,No
7,74.3,Bachelors,5,621,206,Yes
5,100.0,PhD,16,468,402,Yes
10,92.3,Bachelors,11,538,330,Yes
1,64.3,Masters,5,541,163,No
14,83.2,Bachelors,18,769,584,Yes
8,64.5,Bachelors,8,645,361,Yes
13,69.4,Masters,17,735,641,Yes
1,85.1,Bachelors,5,552,100,No
12,88.7,Bachelors,13,879,595,Yes
14,66.5,Bachelors,14,631,443,Yes
11,81.4,Masters,12,898,324,Yes
4,84.6,Bachelors,11,531,253,Yes
11,68.3,High School,9,576,377,Yes
3,55.0,Masters,13,281,272,Yes
12,86.9,Bachelors,14,641,470,Yes
6,79.4,Bachelors,8,533,271,No
7,60.3,High School,5,411,182,Yes
4,56.5,Bachelors,9,338,351,No
9,82.4,Bachelors,12,783,344,Yes
13,74.1,PhD,22,844,630,Yes
13,75.4,Bachelors,12,651,319,Yes
4,59.2,High School,7,353,259,No
1,70.6,Bachelors,7,487,170,No
7,60.6,High School,8,770,291,Yes
13,95.7,Masters,16,597,594,Yes
1,77.0,Bachelors,4,401,179,No
15,79.9,Bachelors,16,806,531,Yes
9,100.0,Bachelors,12,643,401,Yes
11,100.0,Masters,9,706,338,Yes
5,71.6,Bachelors,11,393,244,Yes
7,68.8,Bachelors,9,470,229,No
5,62.9,Masters,11,354,303,Yes
3,88.4,Bachelors,6,487,164,No
12,88.4,Masters,16,664,402,Yes
3,45.7,Masters,5,508,93,No
5,41.8,Bachelors,5,334,185,No
13,85.2,Bachelors,18,737,455,Yes
14,95.0,PhD,22,873,646,Yes
15,77.5,Masters,18,900,576,Yes
12,66.3,PhD,19,500,577,Yes
3,34.1,Bachelors,5,367,236,No
7,60.1,Bachelors,10,532,289,Yes
8,75.6,PhD,9,508,346,Yes
15,97.9,Bachelors,10,763,416,Yes
0,63.0,PhD,7,289,121,No
12,93.0,High School,11,716,352,Yes
3,80.1,PhD,9,483,180,Yes
3,71.2,Bachelors,9,373,253,No
1,69.7,High School,8,400,180,No
5,50.4,Masters,6,602,173,No
2,53.5,Bachelors,6,628,0,No
6,100.0,High School,11,551,315,Yes
15,58.9,Bachelors,16,867,613,Yes
12,80.8,Masters,18,802,482,Yes
10,92.1,PhD,14,688,472,Yes
15,59.3,Bachelors,16,694,525,Yes
10,66.2,Bachelors,16,547,569,Yes
4,95.4,Bachelors,8,466,249,Yes
3,69.8,Masters,6,497,189,No
4,56.9,Bachelors,9,398,245,No
7,74.7,Bachelors,10,613,255,Yes
2,52.9,Bachelors,2,388,145,No
13,100.0,Masters,14,809,438,Yes
6,58.4,Masters,9,553,249,Yes
14,77.7,Bachelors,11,778,494,Yes
13,56.6,High School,10,500,462,Yes
5,66.8,Masters,9,585,214,No
11,80.6,Masters,15,778,402,Yes
15,100.0,Bachelors,17,719,592,Yes
0,37.7,High School,2,465,24,No
12,88.8,Bachelors,22,657,605,Yes
6,74.6,Masters,10,424,165,Yes
13,58.9,Masters,14,745,450,Yes
12,70.6,Bachelors,14,889,538,Yes
6,58.0,Bachelors,10,627,204,Yes
13,100.0,Bachelors,15,512,445,Yes
15,100.0,PhD,13,781,514,Yes
14,87.7,Bachelors,16,589,490,Yes
11,22.6,PhD,16,875,597,Yes
0,32.6,Masters,4,462,125,No
8,84.4,Bachelors,11,773,345,Yes
5,79.2,Bachelors,8,563,220,No
14,81.9,PhD,15,900,571,Yes
11,79.9,Bachelors,9,538,389,Yes
1,62.6,Masters,9,401,245,Yes
4,68.0,Bachelors,8,383,386,No
12,79.7,Masters,19,512,580,Yes
10,93.5,Masters,14,552,420,Yes
3,87.6,PhD,6,577,225,Yes
6,55.1,Bachelors,15,652,374,Yes
7,57.3,Masters,4,561,206,No
15,71.1,High School,10,704,405,Yes
10,78.2,Bachelors,4,697,250,Yes
13,88.8,Bachelors,14,748,456,Yes
14,92.8,High School,13,900,298,Yes
10,92.1,Bachelors,9,813,389,Yes
0,62.9,Bachelors,4,597,66,No
4,76.4,PhD,13,424,389,Yes
14,100.0,Masters,11,708,421,Yes
2,61.6,Bachelors,6,208,4,No
0,73.9,PhD,11,519,217,No
11,84.3,Bachelors,13,677,341,Yes
2,58.9,Bachelors,6,541,146,No
13,84.8,Masters,14,900,443,Yes
5,82.8,High School,9,690,241,No
13,85.9,Masters,13,641,407,Yes
6,59.7,High School,9,704,232,No
15,76.4,Bachelors,20,683,622,Yes
7,77.8,Bachelors,5,445,245,No
12,81.3,PhD,19,485,576,Yes
10,86.2,Masters,13,696,456,Yes
3,69.9,Masters,9,441,181,No
2,58.8,Masters,9,306,184,No
4,44.6,Bachelors,6,432,180,No
8,61.8,Masters,10,595,298,Yes
12,68.4,Bachelors,13,611,447,Yes
5,52.4,Bachelors,9,586,178,No
14,96.1,Masters,17,859,629,Yes
8,100.0,Bachelors,7,381,312,Yes
14,77.8,Bachelors,9,889,377,Yes
5,65.5,Masters,7,522,261,Yes
1,54.5,Masters,7,444,196,No
12,98.1,Masters,18,738,594,Yes
4,71.9,Bachelors,7,276,238,No
11,79.3,Bachelors,10,850,350,Yes
10,63.1,Masters,10,566,310,Yes
8,62.7,Masters,16,551,418,Yes
7,74.1,Bachelors,1,479,190,No
6,80.3,PhD,16,326,449,Yes
0,64.8,PhD,9,451,144,No
3,73.5,Bachelors,6,399,183,No
11,64.9,Masters,16,702,424,Yes
6,74.1,Bachelors,3,397,99,No
15,91.2,Bachelors,22,722,662,Yes
10,58.6,High School,14,746,312,Yes
6,64.2,Masters,11,409,300,Yes
14,100.0,PhD,18,674,431,Yes
5,54.2,Masters,6,425,158,Yes
7,100.0,Masters,6,614,215,Yes
10,85.8,Bachelors,11,744,353,Yes
12,80.6,Bachelors,12,506,300,Yes
5,63.7,Bachelors,10,596,243,Yes
9,87.3,Bachelors,11,743,320,Yes
15,85.1,Masters,16,900,577,Yes
2,55.9,Bachelors,5,248,140,No
3,89.0,Masters,11,597,253,Yes
13,76.4,Bachelors,11,609,398,Yes
2,63.5,Bachelors,12,354,330,No
0,41.6,High School,6,588,153,No
14,93.1,Masters,14,889,554,Yes
9,79.7,High School,11,721,324,Yes
4,86.2,High School,12,531,277,Yes
14,75.2,Masters,13,752,388,Yes
0,43.3,PhD,3,280,64,No
0,57.2,Masters,3,359,114,No
1,45.7,High School,3,579,95,No
12,81.3,Bachelors,17,755,517,Yes
3,78.8,PhD,8,411,189,Yes
5,100.0,Masters,11,405,250,Yes
7,68.5,Masters,11,522,280,Yes
12,48.3,Bachelors,15,653,601,Yes
15,79.4,High School,15,808,562,Yes
2,62.3,High School,5,360,110,No
0,46.7,Masters,4,506,243,No
2,60.5,High School,6,448,155,No
11,89.1,PhD,17,617,391,Yes
2,65.4,Bachelors,5,307,192,No
4,81.1,Masters,6,612,194,Yes
10,76.3,Bachelors,17,739,488,Yes
11,87.7,Bachelors,18,900,572,Yes
11,48.0,High School,14,526,460,Yes
3,52.8,Masters,9,650,328,No
12,80.1,Masters,13,635,361,Yes
3,43.9,High School,4,366,18,No
8,77.3,Masters,9,566,315,Yes
6,64.3,Bachelors,12,541,268,Yes
3,64.2,PhD,7,490,172,No
2,82.3,PhD,5,477,91,No
5,76.3,PhD,6,184,128,Yes
2,40.7,High School,6,366,109,No
5,58.5,Bachelors,8,703,180,No
10,96.3,PhD,15,635,475,Yes
12,84.5,Bachelors,17,645,532,Yes
10,95.4,Bachelors,9,660,300,Yes
12,97.9,Masters,20,736,570,Yes
12,75.7,Bachelors,16,705,528,Yes
11,100.0,Masters,14,624,475,Yes
8,100.0,Masters,11,697,368,Yes
5,44.5,Masters,6,603,173,No
11,80.0,Bachelors,11,692,360,Yes
3,55.3,Bachelors,6,264,186,No
14,81.6,Bachelors,17,900,417,Yes
4,53.3,Bachelors,7,335,236,No
12,67.4,Bachelors,16,582,500,Yes
5,81.0,Bachelors,12,265,238,Yes
10,60.0,Bachelors,15,698,476,Yes
2,62.9,Bachelors,8,268,169,Yes
7,55.0,Masters,6,363,201,Yes
3,82.5,Bachelors,4,549,177,No
7,72.0,Bachelors,5,548,263,No
9,90.4,Masters,15,893,351,Yes
9,82.2,Masters,9,831,331,Yes
15,83.7,Bachelors,15,714,486,Yes
2,66.3,Masters,7,469,119,No
9,98.1,Bachelors,16,851,564,Yes
6,56.0,Bachelors,10,423,368,Yes
10,46.8,PhD,16,702,335,Yes
12,77.2,PhD,15,793,483,Yes
11,65.1,Masters,14,754,448,Yes
8,91.8,Masters,5,473,311,Yes
3,64.6,Masters,13,444,266,Yes
7,91.4,PhD,9,608,256,Yes
2,62.0,Bachelors,7,410,204,No
15,91.4,Masters,16,780,492,Yes
6,72.0,Bachelors,11,534,425,Yes
2,79.2,High School,8,397,155,No
11,82.3,Bachelors,10,747,383,Yes
14,100.0,Masters,14,900,449,Yes
14,100.0,Masters,11,735,430,Yes
6,70.8,Masters,7,554,171,Yes
13,77.9,High School,5,845,182,No
10,71.8,Bachelors,8,778,270,Yes
9,94.7,Bachelors,10,513,320,Yes
9,61.4,Bachelors,11,522,357,Yes
10,74.2,PhD,16,688,432,Yes
10,73.4,Bachelors,12,539,414,Yes
5,54.0,Masters,9,484,266,Yes
1,46.1,High School,1,374,0,No
10,94.5,Bachelors,7,767,327,Yes
2,75.0,Masters,9,343,275,Yes
15,81.2,Bachelors,16,900,472,Yes
5,79.5,Bachelors,8,525,234,No
13,100.0,High School,14,900,526,Yes
3,71.9,Masters,12,321,259,Yes
5,96.3,PhD,9,493,219,Yes
0,74.0,Masters,6,150,94,No
9,78.6,PhD,13,630,489,Yes
11,86.2,Masters,19,813,601,Yes
0,69.1,Masters,4,150,163,No
2,54.1,Masters,10,332,269,Yes
7,32.4,Bachelors,14,407,430,No
7,59.0,Bachelors,14,562,385,Yes
10,48.9,Masters,15,617,325,Yes
3,52.2,Bachelors,9,343,218,No
5,37.4,High School,7,456,316,No
14,100.0,PhD,16,597,513,Yes
7,49.3,High School,5,473,198,No
6,85.2,PhD,7,664,240,Yes
10,92.7,Masters,18,759,350,Yes
6,80.0,Bachelors,10,477,304,No
12,57.2,Masters,19,611,527,Yes
3,84.1,Masters,11,583,216,Yes
8,79.8,Bachelors,14,557,340,Yes
11,95.3,Masters,9,783,262,Yes
9,100.0,Masters,16,673,397,Yes
5,79.4,Bachelors,9,282,280,Yes
13,61.3,High School,13,876,346,No
11,89.3,Bachelors,16,865,422,Yes
10,54.9,Bachelors,11,738,444,Yes
2,56.1,High School,2,494,0,No
4,61.7,Masters,9,329,302,Yes
4,65.7,Bachelors,7,424,184,No
13,64.6,Masters,12,785,348,Yes
4,44.6,Bachelors,10,464,247,No
7,64.8,Bachelors,10,666,314,Yes
15,87.9,Masters,17,900,447,Yes
8,70.9,Masters,12,619,376,Yes
12,100.0,Bachelors,12,609,389,Yes
8,79.9,Bachelors,18,582,370,Yes
12,91.2,Masters,13,900,456,Yes
5,61.8,Bachelors,10,359,156,Yes
5,42.1,High School,5,641,228,Yes
8,73.4,Bachelors,10,468,372,Yes
3,94.4,Masters,6,443,152,No
5,66.4,High School,8,625,222,Yes
3,83.9,Masters,4,474,47,Yes
10,99.8,Masters,16,748,489,Yes
15,100.0,PhD,17,900,533,Yes
0,60.8,Bachelors,6,358,236,No
6,54.7,Bachelors,7,425,217,No
13,80.4,Bachelors,18,807,546,Yes
9,70.1,Bachelors,8,615,232,Yes
10,86.2,Masters,13,622,371,Yes
11,62.0,Masters,14,703,485,Yes
5,63.2,Masters,9,357,207,No
8,83.3,Masters,17,605,484,Yes
6,66.5,PhD,17,536,501,Yes
12,67.8,Bachelors,12,705,414,Yes
6,65.1,PhD,15,576,329,Yes
1,55.4,Bachelors,0,241,0,No
11,47.5,Masters,14,549,624,Yes
10,66.3,Bachelors,16,800,447,Yes
14,100.0,Masters,20,644,570,Yes
8,78.4,Bachelors,9,641,188,Yes
9,85.6,Masters,9,900,349,Yes
8,53.6,PhD,8,587,281,Yes
5,65.0,Masters,14,506,377,Yes
12,83.5,Masters,16,734,445,Yes
2,64.0,High School,8,650,247,No
0,74.2,Bachelors,5,397,207,No
3,85.3,PhD,8,486,202,Yes
13,78.5,Masters,14,748,469,Yes
13,78.8,Masters,10,531,409,Yes
2,82.7,Bachelors,6,391,84,No
13,73.6,High School,16,757,584,Yes
11,63.3,Bachelors,10,890,413,No
0,54.4,Bachelors,4,537,73,No
2,81.7,Bachelors,3,285,81,No
15,73.9,Bachelors,15,882,575,Yes
13,77.1,Bachelors,11,724,299,Yes
13,74.3,Masters,20,897,664,Yes
3,77.8,Bachelors,8,430,167,No
12,89.6,Masters,13,668,529,Yes
12,100.0,PhD,13,615,397,Yes
14,100.0,Bachelors,15,711,502,Yes
13,64.6,Masters,13,732,409,Yes
7,67.6,PhD,9,410,369,Yes
8,62.5,High School,9,572,303,Yes
2,58.0,High School,6,261,189,No
5,75.1,Bachelors,8,569,119,Yes
9,71.9,Masters,10,780,321,Yes
10,67.1,Bachelors,16,705,367,Yes
14,99.8,Bachelors,14,743,400,Yes
4,77.4,Masters,5,497,154,Yes
15,87.7,High School,19,739,613,Yes
5,42.8,PhD,11,605,265,Yes
3,81.6,Bachelors,3,565,113,No
9,85.8,PhD,13,699,324,Yes
5,65.1,Bachelors,8,704,210,Yes
15,75.2,Bachelors,15,900,519,Yes
6,60.0,Bachelors,10,719,233,No
8,67.6,PhD,16,582,546,Yes
9,41.0,High School,12,535,403,No
6,61.0,Masters,11,561,254,Yes
5,47.3,Masters,7,839,280,No
0,60.3,Masters,3,402,87,No
1,42.2,Bachelors,4,150,45,No
0,75.9,PhD,8,576,171,No
8,52.3,Masters,12,588,388,Yes
9,93.4,Bachelors,10,482,346,Yes
9,91.8,Masters,9,593,255,Yes
8,65.0,PhD,15,576,373,Yes
6,75.6,PhD,17,606,429,Yes
15,74.7,Bachelors,10,745,427,Yes
12,93.9,Masters,19,674,421,Yes
1,86.5,Bachelors,3,379,151,No
5,85.2,Bachelors,9,449,344,Yes
10,67.2,Bachelors,11,802,358,Yes
3,65.2,Bachelors,10,279,288,Yes
0,84.1,Masters,8,350,240,No
0,65.4,Bachelors,9,230,254,No
11,94.7,Bachelors,12,647,452,Yes
4,75.3,Bachelors,8,545,252,Yes
11,80.6,Bachelors,11,652,445,Yes
1,66.0,PhD,8,204,219,No
3,49.1,Masters,6,369,179,No
0,46.0,Bachelors,10,493,127,No
3,57.5,PhD,8,676,234,No
10,72.2,Bachelors,18,482,450,Yes
5,72.7,Masters,9,627,258,Yes
9,81.4,PhD,18,387,506,Yes
3,66.7,Bachelors,7,668,241,No
0,71.2,Masters,5,478,37,No
6,63.3,Bachelors,10,612,343,Yes
13,94.6,Bachelors,10,626,482,Yes
1,80.3,Masters,6,200,269,No
8,87.2,PhD,14,476,526,Yes
12,73.3,Bachelors,20,497,591,Yes
2,83.2,PhD,9,302,94,Yes
7,86.2,PhD,15,514,352,Yes
12,90.8,Bachelors,14,801,461,Yes
7,94.5,Bachelors,9,674,350,Yes
2,75.9,Masters,6,578,122,No
3,87.1,Bachelors,6,460,93,Yes
1,52.8,High School,2,329,0,No
3,64.5,PhD,9,416,267,Yes
10,98.5,Masters,9,738,336,Yes
10,62.7,Bachelors,13,640,541,Yes
10,100.0,Masters,12,460,338,Yes
15,100.0,High School,14,763,496,Yes
13,84.8,Bachelors,16,700,613,Yes
8,99.0,PhD,15,604,499,Yes
1,73.2,Masters,9,242,137,No
11,60.1,Bachelors,15,627,337,Yes
11,67.3,Bachelors,11,625,362,Yes
12,89.5,Masters,19,886,499,Yes
15,89.9,Bachelors,13,807,478,Yes
2,76.6,High School,4,379,99,No
14,90.0,Bachelors,9,878,426,Yes
10,62.2,Masters,13,849,386,Yes
10,64.8,High School,8,900,280,Yes
14,92.1,High School,14,809,491,Yes
3,36.2,Bachelors,4,292,151,No
4,44.3,Bachelors,4,357,159,No
0,51.9,Bachelors,6,282,78,No
6,83.4,Bachelors,7,426,258,Yes
15,84.2,Bachelors,10,660,365,Yes
13,94.2,Masters,19,900,521,Yes
9,75.6,Bachelors,13,336,391,Yes
15,85.4,Bachelors,16,900,497,Yes
6,67.2,PhD,15,343,401,Yes
8,89.8,Masters,13,819,415,Yes
3,48.4,Masters,5,556,342,No
13,80.0,Bachelors,10,684,446,Yes
13,96.2,High School,13,696,399,Yes
5,59.8,Masters,7,518,193,No
10,57.9,Masters,14,626,389,Yes
1,27.7,Bachelors,8,203,133,No
11,89.5,Bachelors,15,800,485,Yes
11,98.0,PhD,9,685,459,Yes
13,78.3,Bachelors,13,670,517,Yes
3,44.4,Bachelors,7,405,210,No
1,57.3,Bachelors,5,317,52,Yes
9,96.9,Masters,13,672,409,Yes
4,50.2,Masters,9,554,246,No
14,100.0,Masters,20,546,617,Yes
6,44.1,Bachelors,7,613,213,Yes
12,59.9,High School,8,694,288,Yes
0,59.1,Bachelors,5,280,178,No
14,100.0,Masters,5,844,201,Yes
9,100.0,Masters,16,623,411,Yes
9,97.9,PhD,12,449,225,Yes
6,92.8,Bachelors,7,498,249,Yes
9,82.0,Masters,14,610,341,Yes
12,72.2,Bachelors,12,695,437,Yes
5,85.3,Bachelors,6,456,240,No
5,88.0,Bachelors,9,511,245,No
11,93.5,Bachelors,16,555,493,Yes
7,88.2,PhD,10,348,380,Yes
7,92.4,Bachelors,6,594,231,Yes
5,80.1,PhD,10,330,174,No
2,61.2,Bachelors,4,547,138,No
4,76.4,Bachelors,7,719,214,Yes
1,66.7,Bachelors,6,416,53,No
14,98.8,Bachelors,18,858,566,Yes
13,81.5,Bachelors,17,527,509,Yes
4,74.6,High School,5,509,139,No
13,96.4,Bachelors,9,691,329,Yes
8,84.2,PhD,14,541,376,Yes
9,68.0,Masters,15,609,378,Yes
0,79.9,Masters,7,577,147,No
9,57.4,Bachelors,4,691,174,Yes
4,51.1,Bachelors,11,719,226,No
11,82.0,Bachelors,13,504,424,Yes
5,33.6,Masters,13,503,257,Yes
13,100.0,Bachelors,4,900,296,Yes
10,77.7,Bachelors,14,646,447,Yes
6,96.3,Masters,7,534,125,Yes
8,100.0,Bachelors,15,778,311,Yes
5,68.9,Masters,11,718,324,Yes
4,85.7,Bachelors,9,621,360,Yes
11,63.6,Bachelors,18,790,646,Yes
6,79.7,Masters,10,613,291,Yes
12,74.4,Bachelors,20,806,602,Yes
0,67.9,Bachelors,6,283,114,No
10,86.2,High School,10,518,330,Yes
13,84.9,Masters,7,686,265,Yes
4,81.2,PhD,11,403,304,Yes
14,100.0,Masters,15,844,510,Yes
1,66.1,Masters,11,208,277,No
3,100.0,Bachelors,3,253,143,Yes
6,67.4,Bachelors,7,561,287,No
4,85.8,High School,7,416,185,Yes
11,100.0,Masters,6,833,243,Yes
5,39.6,Bachelors,6,347,229,No
1,85.6,Masters,11,312,259,Yes
2,81.4,Masters,5,571,186,Yes
6,78.7,PhD,5,648,226,Yes
10,83.0,Bachelors,13,597,305,Yes
1,66.9,Bachelors,4,586,61,Yes
11,100.0,Bachelors,12,663,198,Yes
5,61.3,Bachelors,12,578,309,No
4,93.0,Masters,11,417,275,Yes
9,54.7,High School,11,500,315,Yes
0,38.6,PhD,5,506,49,No
11,95.9,PhD,12,530,467,Yes
10,100.0,Masters,14,659,529,Yes
14,82.8,Bachelors,15,660,647,Yes
9,41.5,Bachelors,13,623,402,Yes
10,55.1,Bachelors,12,685,407,Yes
3,65.5,High School,3,544,82,No
10,77.3,Bachelors,12,679,366,Yes
1,74.3,High School,4,284,139,No
3,68.3,Masters,0,265,108,No
0,46.4,Bachelors,6,321,146,No
1,64.1,Bachelors,2,365,65,No
12,96.7,Bachelors,11,739,504,Yes
7,99.3,PhD,17,522,424,Yes
5,69.6,Masters,9,422,343,Yes
1,60.5,Bachelors,7,296,165,No
11,94.9,Masters,18,546,423,Yes
14,78.0,Masters,14,784,511,Yes
5,82.3,Masters,7,408,261,Yes
9,72.0,Bachelors,11,499,332,Yes
8,76.1,Masters,16,655,453,Yes
6,69.5,Bachelors,6,355,283,Yes
8,82.9,PhD,11,422,250,Yes
4,94.2,Bachelors,5,411,199,No
6,70.0,PhD,8,382,203,Yes
10,78.7,PhD,16,412,511,Yes
15,100.0,Bachelors,12,721,489,Yes
14,99.7,PhD,18,775,579,Yes
13,90.5,High School,11,610,438,Yes
6,54.0,Bachelors,5,626,230,No
11,83.2,Bachelors,7,832,331,Yes
15,100.0,PhD,13,893,446,Yes
11,69.4,Bachelors,14,708,404,Yes
2,74.7,Masters,9,309,208,Yes
6,70.2,Masters,7,452,257,Yes
0,55.3,PhD,8,265,179,No
8,92.4,Masters,17,520,562,Yes
9,92.6,Bachelors,16,630,506,Yes
12,83.4,Bachelors,11,900,517,Yes
5,69.8,High School,15,333,439,No
15,100.0,Masters,13,769,524,Yes
4,59.6,Bachelors,4,464,130,No
6,74.7,Bachelors,9,543,301,Yes
4,63.5,Masters,4,530,124,No
9,60.2,Bachelors,10,597,316,No
4,63.3,Masters,9,565,316,Yes
15,70.6,Bachelors,12,900,583,Yes
10,79.4,High School,5,854,202,No
9,63.9,Bachelors,10,460,299,Yes
10,56.5,Bachelors,12,605,403,Yes
6,84.4,Masters,5,516,125,Yes
9,85.7,Bachelors,13,552,387,Yes
14,80.5,Bachelors,12,753,457,Yes
6,83.8,Masters,8,509,246,Yes
12,73.2,Masters,16,746,436,Yes
10,75.7,Masters,13,692,479,Yes
14,99.1,PhD,16,900,541,Yes
2,80.8,Masters,9,391,171,Yes
2,55.8,Bachelors,3,469,39,No
9,70.3,Masters,17,614,472,Yes
11,94.2,Bachelors,11,732,395,Yes
12,90.7,Bachelors,18,669,599,Yes
14,87.7,Bachelors,22,900,675,Yes
2,79.2,Bachelors,5,393,87,No
5,96.7,Bachelors,3,640,187,Yes
11,85.0,Bachelors,14,764,529,Yes
14,72.2,High School,13,674,430,Yes
5,78.7,Masters,17,612,349,Yes
12,76.7,PhD,15,756,473,Yes
12,100.0,Masters,16,569,509,Yes
2,54.7,Masters,5,289,141,No
2,58.6,Bachelors,3,342,2,No
7,66.4,PhD,15,544,463,Yes
7,74.2,Bachelors,9,557,261,Yes
6,68.3,High School,10,486,285,Yes
9,86.6,Bachelors,12,807,413,Yes
3,65.3,Bachelors,4,441,189,No
14,81.7,High School,9,816,395,Yes
3,54.9,Bachelors,8,409,216,Yes
2,52.7,High School,10,458,192,No
4,44.6,Bachelors,12,399,399,No
2,82.4,Bachelors,5,468,245,No
12,87.6,PhD,14,544,508,Yes
7,96.1,Bachelors,11,525,326,Yes
6,67.7,Bachelors,5,542,202,No
15,62.7,Masters,11,804,380,Yes
12,78.5,Masters,18,601,572,Yes
2,61.5,Bachelors,7,391,203,No
15,92.2,Masters,20,900,675,Yes
8,83.7,Bachelors,5,372,161,Yes
11,82.1,Bachelors,13,690,348,Yes
13,78.4,Bachelors,15,656,537,Yes
12,71.5,Masters,16,900,553,Yes
4,59.4,Bachelors,12,514,251,Yes
8,86.3,Masters,6,724,272,Yes
6,82.4,Bachelors,11,528,261,Yes
14,79.1,Masters,20,588,608,Yes
6,84.6,Bachelors,14,662,417,Yes
5,76.0,Bachelors,12,347,279,Yes
1,49.9,Masters,7,326,128,No
8,81.0,Masters,5,651,256,Yes
5,73.0,Bachelors,7,613,166,Yes
7,59.3,Masters,14,608,345,Yes
0,40.9,Masters,5,391,71,No
4,72.6,Bachelors,13,511,300,Yes
11,80.2,PhD,15,726,509,Yes
0,83.9,Masters,10,217,204,No
9,100.0,Bachelors,8,725,438,Yes
10,84.6,Bachelors,10,557,281,Yes
15,100.0,Bachelors,14,675,589,Yes
13,68.1,Bachelors,16,900,510,Yes
7,51.5,Bachelors,11,479,411,Yes
7,69.4,Bachelors,12,632,368,Yes
0,42.0,Masters,5,180,74,No
8,78.1,Bachelors,9,702,368,Yes
1,51.5,Masters,8,319,83,No
11,82.4,Bachelors,8,845,246,Yes
8,70.9,Bachelors,7,745,198,No
0,70.8,Masters,6,344,123,No
11,88.1,Masters,18,667,518,Yes
9,69.4,Bachelors,10,468,317,Yes
13,63.0,Bachelors,20,800,599,Yes
15,89.9,Bachelors,12,633,410,Yes
13,61.1,Masters,16,700,553,Yes
8,92.2,Bachelors,6,751,382,Yes
3,75.2,Masters,4,383,92,No
8,89.9,Masters,12,384,297,Yes
6,55.0,Bachelors,17,471,416,Yes
10,82.8,Bachelors,10,753,472,Yes
5,57.5,Bachelors,7,620,107,No
14,87.7,Bachelors,20,632,632,Yes
4,50.5,Bachelors,10,366,193,No
10,76.2,Bachelors,8,677,209,Yes
8,56.6,Masters,14,619,458,Yes
1,57.1,Bachelors,9,382,257,No
13,66.3,PhD,19,563,434,Yes
12,100.0,Bachelors,7,627,268,Yes
10,79.9,Bachelors,9,530,210,Yes
13,87.3,Masters,13,640,519,Yes
11,93.4,Masters,10,566,301,Yes
1,40.0,Bachelors,3,314,87,No
